id,sku,title,description,barcode,category,images,retail_value,selling_value,cost_price,quantity,unit,tags,metadata_supplier,metadata_sku_family,skip_vectorize,vectorize_status,vector_id,created_at,updated_at
11,P-000011,Annibale Colombo Bed,High-quality annibale colombo bed from Annibale Colombo. Perfect for everyday use.,5042780594466,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Bed/1.png""]",1899.99,1339.79,776.26,47,pcs,"[""furniture"", ""annibale-colombo"", ""annibale"", ""colombo""]",Annibale Colombo,ANNIBALE-COLOMBO-11,true,done,,2026-06-03T11:21:00.000Z,2026-06-03T20:51:00.000Z
12,P-000012,Annibale Colombo Sofa,High-quality annibale colombo sofa from Annibale Colombo. Perfect for everyday use.,4969197476446,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Sofa/1.png""]",2499.99,2262.32,1813.7,16,pcs,"[""furniture"", ""annibale-colombo"", ""annibale"", ""colombo""]",Annibale Colombo,ANNIBALE-COLOMBO-12,true,,,2026-06-04T16:47:00.000Z,2026-06-01T02:59:00.000Z
13,P-000013,Bedside Table African Cherry,High-quality bedside table african cherry from Furniture Co.. Perfect for everyday use.,5126619871038,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Bedside%20Table%20African%20Cherry/1.png""]",299.99,235.87,199.69,10,pcs,"[""furniture"", ""furniture-co."", ""bedside"", ""table""]",Furniture Co.,FURNITURE-CO.-13,true,failed,,2026-06-05T17:02:00.000Z,2026-06-02T08:10:00.000Z
14,P-000014,Knoll Saarinen Executive Conference Chair,High-quality knoll saarinen executive conference chair from Knoll. Perfect for everyday use.,2510110228613,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Knoll%20Saarinen%20Executive%20Conference%20Chair/1.png""]",499.99,396.13,289.08,44,pcs,"[""furniture"", ""knoll"", ""saarinen""]",Knoll,KNOLL-14,true,failed,pos-brain:vec_rc4jbxjpljkq,2026-06-03T01:18:00.000Z,2026-06-03T12:22:00.000Z
15,P-000015,Wooden Bathroom Sink With Mirror,High-quality wooden bathroom sink with mirror from Bath Trends. Perfect for everyday use.,7987482840539,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Wooden%20Bathroom%20Sink%20With%20Mirror/1.png""]",799.99,621.97,523.49,18,pcs,"[""furniture"", ""bath-trends"", ""wooden"", ""bathroom""]",Bath Trends,BATH-TRENDS-15,true,failed,pos-brain:vec_5rv7vdyuf1hf,2026-06-01T22:59:00.000Z,2026-06-01T19:24:00.000Z
16,P-000016,Apple,High-quality apple from Fresh Harvest. Perfect for everyday use.,6245708253139,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Apple/1.png""]",1.99,1.72,1.2,10,pcs,"[""groceries"", ""fresh-harvest"", ""apple""]",Fresh Harvest,FRESH-HARVEST-16,true,done,pos-brain:vec_odtkwedfly64,2026-06-02T19:55:00.000Z,2026-06-04T20:25:00.000Z
17,P-000017,Beef Steak,High-quality beef steak from Prime Beef. Perfect for everyday use.,8968635926024,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Beef%20Steak/1.png""]",12.99,10.09,7.4,96,pcs,"[""groceries"", ""prime-beef"", ""beef"", ""steak""]",Prime Beef,PRIME-BEEF-17,true,failed,pos-brain:vec_bocy7mps1xhb,2026-06-05T14:08:00.000Z,2026-06-01T22:53:00.000Z
18,P-000018,Cat Food,High-quality cat food from Whiskers. Perfect for everyday use.,7008830252075,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Cat%20Food/1.png""]",8.99,6.95,4.81,13,pcs,"[""groceries"", ""whiskers"", ""food""]",Whiskers,WHISKERS-18,true,,pos-brain:vec_uxks0awu7fuy,2026-06-01T14:42:00.000Z,2026-06-05T16:27:00.000Z
19,P-000019,Chicken Meat,High-quality chicken meat from Farm Fresh. Perfect for everyday use.,2689326277561,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Chicken%20Meat/1.png""]",9.99,8.99,6.7,69,pcs,"[""groceries"", ""farm-fresh"", ""chicken"", ""meat""]",Farm Fresh,FARM-FRESH-19,true,queued,pos-brain:vec_8xxagcevt3d8,2026-06-05T02:03:00.000Z,2026-06-02T14:40:00.000Z
20,P-000020,Cooking Oil,High-quality cooking oil from Golden Sun. Perfect for everyday use.,2203623669282,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Cooking%20Oil/1.png""]",4.99,4.34,3.65,22,pcs,"[""groceries"", ""golden-sun"", ""cooking""]",Golden Sun,GOLDEN-SUN-20,true,failed,pos-brain:vec_hikmr0jspo1f,2026-06-04T03:38:00.000Z,2026-06-05T16:14:00.000Z
21,P-000021,Cucumber,High-quality cucumber from Green Valley. Perfect for everyday use.,1182751071967,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Cucumber/1.png""]",1.49,1.42,0.98,22,pcs,"[""groceries"", ""green-valley"", ""cucumber""]",Green Valley,GREEN-VALLEY-21,true,done,pos-brain:vec_2bot4v9zudsy,2026-06-03T17:09:00.000Z,2026-06-02T16:24:00.000Z
22,P-000022,Dog Food,High-quality dog food from Pedigree. Perfect for everyday use.,0862578251451,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Dog%20Food/1.png""]",10.99,9.3,6.2,40,pcs,"[""groceries"", ""pedigree"", ""food""]",Pedigree,PEDIGREE-22,true,queued,pos-brain:vec_51eq9t0q43ly,2026-06-05T17:24:00.000Z,2026-06-03T18:29:00.000Z
23,P-000023,Eggs,High-quality eggs from Farm Fresh. Perfect for everyday use.,1218313774082,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Eggs/1.png""]",2.99,2.4,1.88,10,pcs,"[""groceries"", ""farm-fresh"", ""eggs""]",Farm Fresh,FARM-FRESH-23,true,queued,pos-brain:vec_3qsdr2mzzz51,2026-06-04T19:02:00.000Z,2026-06-03T15:57:00.000Z
24,P-000024,Fish Steak,High-quality fish steak from Ocean Catch. Perfect for everyday use.,0146023435246,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Fish%20Steak/1.png""]",14.99,13.29,10.06,99,pcs,"[""groceries"", ""ocean-catch"", ""fish"", ""steak""]",Ocean Catch,OCEAN-CATCH-24,true,failed,pos-brain:vec_mnfb3lb1xnhe,2026-06-02T17:04:00.000Z,2026-06-04T19:17:00.000Z
25,P-000025,Green Bell Pepper,High-quality green bell pepper from Green Valley. Perfect for everyday use.,4520663611480,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Green%20Bell%20Pepper/1.png""]",1.29,1.2,0.88,10,pcs,"[""groceries"", ""green-valley"", ""green"", ""bell""]",Green Valley,GREEN-VALLEY-25,true,,,2026-06-02T20:49:00.000Z,2026-06-05T12:07:00.000Z
26,P-000026,Green Chili Pepper,High-quality green chili pepper from Spice World. Perfect for everyday use.,5807579502874,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Green%20Chili%20Pepper/1.png""]",0.99,0.76,0.52,8,pcs,"[""groceries"", ""spice-world"", ""green"", ""chili""]",Spice World,SPICE-WORLD-26,true,queued,pos-brain:vec_3g5yyxn6fgn6,2026-06-04T14:08:00.000Z,2026-06-05T10:39:00.000Z
27,P-000027,Honey Jar,High-quality honey jar from Nature's Best. Perfect for everyday use.,1868837543855,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Honey%20Jar/1.png""]",6.99,6.39,5.37,25,pcs,"[""groceries"", ""nature's-best"", ""honey""]",Nature's Best,NATURE'S-BEST-27,true,done,pos-brain:vec_tz0grbdyan6u,2026-06-01T17:31:00.000Z,2026-06-01T15:22:00.000Z
28,P-000028,Ice Cream,High-quality ice cream from Dairy Delight. Perfect for everyday use.,3646453802057,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Ice%20Cream/1.png""]",5.49,4.85,3.88,50,pcs,"[""groceries"", ""dairy-delight"", ""cream""]",Dairy Delight,DAIRY-DELIGHT-28,true,,,2026-06-05T09:12:00.000Z,2026-06-02T15:32:00.000Z
29,P-000029,Juice,High-quality juice from Tropicana. Perfect for everyday use.,9136661142411,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Juice/1.png""]",3.99,3.7,2.73,99,pcs,"[""groceries"", ""tropicana"", ""juice""]",Tropicana,TROPICANA-29,true,done,,2026-06-05T11:13:00.000Z,2026-06-04T08:33:00.000Z
30,P-000030,Kiwi,High-quality kiwi from Fresh Harvest. Perfect for everyday use.,7923311157676,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Kiwi/1.png""]",2.49,2.24,1.96,1,pcs,"[""groceries"", ""fresh-harvest"", ""kiwi""]",Fresh Harvest,FRESH-HARVEST-30,true,,pos-brain:vec_90dfq29pqw2z,2026-06-04T14:46:00.000Z,2026-06-04T19:21:00.000Z
31,P-000031,Lemon,High-quality lemon from Citrus Grove. Perfect for everyday use.,0860604289081,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Lemon/1.png""]",0.79,0.64,0.55,17,pcs,"[""groceries"", ""citrus-grove"", ""lemon""]",Citrus Grove,CITRUS-GROVE-31,true,queued,pos-brain:vec_bgcnxpb4c2x8,2026-06-02T01:13:00.000Z,2026-06-03T02:41:00.000Z
32,P-000032,Milk,High-quality milk from Dairy Pure. Perfect for everyday use.,0392571005907,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Milk/1.png""]",3.49,2.56,1.59,15,pcs,"[""groceries"", ""dairy-pure"", ""milk""]",Dairy Pure,DAIRY-PURE-32,true,,,2026-06-01T06:52:00.000Z,2026-06-05T09:42:00.000Z
33,P-000033,Mulberry,High-quality mulberry from Berry Farms. Perfect for everyday use.,0293633414139,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Mulberry/1.png""]",4.99,4.57,3.19,69,pcs,"[""groceries"", ""berry-farms"", ""mulberry""]",Berry Farms,BERRY-FARMS-33,true,done,,2026-06-03T06:10:00.000Z,2026-06-01T20:53:00.000Z
34,P-000034,Orange,High-quality orange from Citrus Grove. Perfect for everyday use.,2081562650050,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Orange/1.png""]",1.99,1.61,1.19,150,pcs,"[""groceries"", ""citrus-grove"", ""orange""]",Citrus Grove,CITRUS-GROVE-34,true,failed,pos-brain:vec_l5lfjq3t5wq8,2026-06-05T19:15:00.000Z,2026-06-02T14:24:00.000Z
35,P-000035,Protein Powder,High-quality protein powder from MuscleTech. Perfect for everyday use.,3548446112679,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Protein%20Powder/1.png""]",29.99,19.52,11.9,67,pcs,"[""groceries"", ""muscletech"", ""protein"", ""powder""]",MuscleTech,MUSCLETECH-35,true,done,pos-brain:vec_1pbsefke1apq,2026-06-03T07:00:00.000Z,2026-06-02T07:59:00.000Z
36,P-000036,Red Onions,High-quality red onions from Farm Fresh. Perfect for everyday use.,7034692635916,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Red%20Onions/1.png""]",1.99,1.48,1.24,195,pcs,"[""groceries"", ""farm-fresh"", ""onions""]",Farm Fresh,FARM-FRESH-36,true,failed,pos-brain:vec_xssczoq6xom4,2026-06-03T11:26:00.000Z,2026-06-02T13:48:00.000Z
37,P-000037,Rice,High-quality rice from Golden Grain. Perfect for everyday use.,2269982453592,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Rice/1.png""]",5.99,4.7,4.06,49,pcs,"[""groceries"", ""golden-grain"", ""rice""]",Golden Grain,GOLDEN-GRAIN-37,true,done,,2026-06-01T04:31:00.000Z,2026-06-02T05:17:00.000Z
38,P-000038,Soft Drinks,High-quality soft drinks from Coca-Cola. Perfect for everyday use.,3598365628663,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Soft%20Drinks/1.png""]",1.99,1.77,1.34,78,pcs,"[""groceries"", ""coca-cola"", ""soft"", ""drinks""]",Coca-Cola,COCA-COLA-38,true,,pos-brain:vec_f0uz6bpyxx0n,2026-06-03T17:50:00.000Z,2026-06-02T19:24:00.000Z
39,P-000039,Strawberry,High-quality strawberry from Berry Farms. Perfect for everyday use.,8759649179096,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Strawberry/1.png""]",3.99,2.78,2.28,67,pcs,"[""groceries"", ""berry-farms"", ""strawberry""]",Berry Farms,BERRY-FARMS-39,true,done,,2026-06-04T11:19:00.000Z,2026-06-02T05:52:00.000Z
40,P-000040,Tissue Paper Box,High-quality tissue paper box from Kleenex. Perfect for everyday use.,7751996263465,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Tissue%20Paper%20Box/1.png""]",2.49,1.99,1.41,20,pcs,"[""groceries"", ""kleenex"", ""tissue"", ""paper""]",Kleenex,KLEENEX-40,true,failed,,2026-06-03T12:48:00.000Z,2026-06-03T23:25:00.000Z
41,P-000041,Water,High-quality water from Aquafina. Perfect for everyday use.,3820053046093,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Water/1.png""]",0.99,0.93,0.82,168,pcs,"[""groceries"", ""aquafina"", ""water""]",Aquafina,AQUAFINA-41,true,failed,pos-brain:vec_1bcu7rg7qg02,2026-06-02T11:36:00.000Z,2026-06-02T15:43:00.000Z
42,P-000042,iPhone 9,High-quality iphone 9 from Apple. Perfect for everyday use.,7762882228309,Electronics,"[""https://cdn.dummyjson.com/products/images/smartphones/iPhone%209/1.png""]",549.99,435.2,361.63,94,pcs,"[""smartphones"", ""apple"", ""iphone""]",Apple,APPLE-42,true,done,pos-brain:vec_b7213x740u5i,2026-06-05T06:18:00.000Z,2026-06-01T09:03:00.000Z
43,P-000043,iPhone X,High-quality iphone x from Apple. Perfect for everyday use.,0187447875269,Electronics,"[""https://cdn.dummyjson.com/products/images/smartphones/iPhone%20X/1.png""]",899.99,662.6,546.54,34,pcs,"[""smartphones"", ""apple"", ""iphone""]",Apple,APPLE-43,true,done,,2026-06-04T13:28:00.000Z,2026-06-05T17:56:00.000Z
44,P-000044,Samsung Universe 9,High-quality samsung universe 9 from Samsung. Perfect for everyday use.,4728072097654,Electronics,"[""https://cdn.dummyjson.com/products/images/smartphones/Samsung%20Universe%209/1.png""]",1249.99,839.61,689.98,36,pcs,"[""smartphones"", ""samsung"", ""universe""]",Samsung,SAMSUNG-44,true,queued,,2026-06-02T02:47:00.000Z,2026-06-04T14:06:00.000Z
45,P-000045,OPPO F19,High-quality oppo f19 from OPPO. Perfect for everyday use.,1863444338262,Electronics,"[""https://cdn.dummyjson.com/products/images/smartphones/OPPO%20F19/1.png""]",280.99,247.81,181.22,123,pcs,"[""smartphones"", ""oppo""]",OPPO,OPPO-45,true,failed,pos-brain:vec_ql2iapvuw9kd,2026-06-01T02:50:00.000Z,2026-06-02T17:56:00.000Z
46,P-000046,Huawei P30,High-quality huawei p30 from Huawei. Perfect for everyday use.,1422937297275,Electronics,"[""https://cdn.dummyjson.com/products/images/smartphones/Huawei%20P30/1.png""]",499.99,394.06,269.73,32,pcs,"[""smartphones"", ""huawei""]",Huawei,HUAWEI-46,true,,pos-brain:vec_yrh7ak2jouvd,2026-06-04T05:14:00.000Z,2026-06-02T12:57:00.000Z
47,P-000047,MacBook Pro,High-quality macbook pro from Apple. Perfect for everyday use.,0904219510227,Electronics,"[""https://cdn.dummyjson.com/products/images/laptops/MacBook%20Pro/1.png""]",1749.99,1333.09,888.55,83,pcs,"[""laptops"", ""apple"", ""macbook""]",Apple,APPLE-47,true,queued,pos-brain:vec_cybtd2gbewwk,2026-06-02T05:48:00.000Z,2026-06-02T21:16:00.000Z
48,P-000048,Samsung Galaxy Book,High-quality samsung galaxy book from Samsung. Perfect for everyday use.,9560777325964,Electronics,"[""https://cdn.dummyjson.com/products/images/laptops/Samsung%20Galaxy%20Book/1.png""]",1499.99,1307.55,1018.86,50,pcs,"[""laptops"", ""samsung"", ""galaxy""]",Samsung,SAMSUNG-48,true,done,pos-brain:vec_pc3lgf14meiw,2026-06-04T22:01:00.000Z,2026-06-01T16:46:00.000Z
49,P-000049,Microsoft Surface Laptop 4,High-quality microsoft surface laptop 4 from Microsoft. Perfect for everyday use.,6960304161872,Electronics,"[""https://cdn.dummyjson.com/products/images/laptops/Microsoft%20Surface%20Laptop%204/1.png""]",1499.99,1009.42,727.81,68,pcs,"[""laptops"", ""microsoft"", ""surface""]",Microsoft,MICROSOFT-49,true,,,2026-06-04T11:06:00.000Z,2026-06-02T08:09:00.000Z
50,P-000050,Infinix INBOOK,High-quality infinix inbook from Infinix. Perfect for everyday use.,8587289712385,Electronics,"[""https://cdn.dummyjson.com/products/images/laptops/Infinix%20INBOOK/1.png""]",1099.99,761.48,578.84,96,pcs,"[""laptops"", ""infinix"", ""inbook""]",Infinix,INFINIX-50,true,done,pos-brain:vec_on6le98o1wlh,2026-06-02T23:52:00.000Z,2026-06-01T10:09:00.000Z
51,P-000051,HP Pavilion 15-DK1056WM,High-quality hp pavilion 15-dk1056wm from HP. Perfect for everyday use.,1433644394080,Electronics,"[""https://cdn.dummyjson.com/products/images/laptops/HP%20Pavilion%2015-DK1056WM/1.png""]",1099.99,868.79,551.01,89,pcs,"[""laptops"", ""hp"", ""pavilion""]",HP,HP-51,true,,pos-brain:vec_8nsggu4gn3c6,2026-06-03T21:43:00.000Z,2026-06-05T21:06:00.000Z
52,P-000052,Essence Mascara Lash Princess,High-quality essence mascara lash princess from Essence. Perfect for everyday use.,4157264430919,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Essence%20Mascara%20Lash%20Princess/1.png""]",9.99,8.97,7.67,5,pcs,"[""beauty"", ""essence"", ""mascara""]",Essence,ESSENCE-52,true,,pos-brain:vec_ukiomtfuco3t,2026-06-02T08:45:00.000Z,2026-06-02T21:25:00.000Z
53,P-000053,Eyeshadow Palette with Mirror,High-quality eyeshadow palette with mirror from Glamour Beauty. Perfect for everyday use.,4611800720843,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Eyeshadow%20Palette%20with%20Mirror/1.png""]",19.99,13.79,8.83,44,pcs,"[""beauty"", ""glamour-beauty"", ""eyeshadow"", ""palette""]",Glamour Beauty,GLAMOUR-BEAUTY-53,true,failed,pos-brain:vec_81g6z35x9ick,2026-06-01T08:47:00.000Z,2026-06-05T11:13:00.000Z
54,P-000054,Powder Canister,High-quality powder canister from Velvet Touch. Perfect for everyday use.,1791790773245,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Powder%20Canister/1.png""]",14.99,13.48,10.91,59,pcs,"[""beauty"", ""velvet-touch"", ""powder"", ""canister""]",Velvet Touch,VELVET-TOUCH-54,true,queued,,2026-06-05T01:32:00.000Z,2026-06-04T02:43:00.000Z
55,P-000055,Red Lipstick,High-quality red lipstick from Chic Cosmetics. Perfect for everyday use.,1673885243523,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Red%20Lipstick/1.png""]",12.99,11.1,9.06,68,pcs,"[""beauty"", ""chic-cosmetics"", ""lipstick""]",Chic Cosmetics,CHIC-COSMETICS-55,true,failed,pos-brain:vec_olwmw50ywfsw,2026-06-01T09:49:00.000Z,2026-06-04T22:16:00.000Z
56,P-000056,Red Nail Polish,High-quality red nail polish from Nail Couture. Perfect for everyday use.,6784657379691,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Red%20Nail%20Polish/1.png""]",8.99,7.62,5.32,71,pcs,"[""beauty"", ""nail-couture"", ""nail""]",Nail Couture,NAIL-COUTURE-56,true,queued,pos-brain:vec_u0eoeu8sii6q,2026-06-01T06:37:00.000Z,2026-06-02T16:55:00.000Z
57,P-000057,Calvin Klein CK One,High-quality calvin klein ck one from Calvin Klein. Perfect for everyday use.,6359745196721,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/1.png""]",49.99,41.02,31.84,17,pcs,"[""fragrances"", ""calvin-klein"", ""calvin"", ""klein""]",Calvin Klein,CALVIN-KLEIN-57,true,done,pos-brain:vec_fyxt8h874kt9,2026-06-02T16:15:00.000Z,2026-06-01T00:29:00.000Z
58,P-000058,Chanel Coco Noir Eau De Parfum,High-quality chanel coco noir eau de parfum from Chanel. Perfect for everyday use.,1588909813930,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Chanel%20Coco%20Noir%20Eau%20De/1.png""]",129.99,119.15,87.24,41,pcs,"[""fragrances"", ""chanel"", ""coco""]",Chanel,CHANEL-58,true,failed,pos-brain:vec_ypj7jhz8n3zs,2026-06-05T04:54:00.000Z,2026-06-02T04:08:00.000Z
59,P-000059,Dior J'adore,High-quality dior j'adore from Dior. Perfect for everyday use.,9395461774101,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/1.png""]",89.99,58.74,37.92,91,pcs,"[""fragrances"", ""dior"", ""j'adore""]",Dior,DIOR-59,true,queued,pos-brain:vec_70h3keq7re3u,2026-06-01T23:54:00.000Z,2026-06-04T11:17:00.000Z
60,P-000060,Dolce Shine Eau de Parfum,High-quality dolce shine eau de parfum from Dolce & Gabbana. Perfect for everyday use.,5193595105770,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Dolce%20Shine%20Eau%20de/1.png""]",69.99,57.34,48.86,3,pcs,"[""fragrances"", ""dolce-&-gabbana"", ""dolce"", ""shine""]",Dolce & Gabbana,DOLCE-&-GABBANA-60,true,done,pos-brain:vec_2kpx8tb9mpjh,2026-06-05T21:17:00.000Z,2026-06-01T03:44:00.000Z
61,P-000061,Gucci Bloom Eau de Parfum,High-quality gucci bloom eau de parfum from Gucci. Perfect for everyday use.,8400386397329,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Gucci%20Bloom%20Eau%20de/1.png""]",79.99,69.13,54.67,93,pcs,"[""fragrances"", ""gucci"", ""bloom""]",Gucci,GUCCI-61,true,done,pos-brain:vec_paspfdfzd5xt,2026-06-04T02:00:00.000Z,2026-06-05T23:54:00.000Z
62,P-000062,Annibale Colombo Bed,High-quality annibale colombo bed from Annibale Colombo. Perfect for everyday use.,7728319693044,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Bed/1.png""]",1899.99,1383.6,946.71,47,pcs,"[""furniture"", ""annibale-colombo"", ""annibale"", ""colombo""]",Annibale Colombo,ANNIBALE-COLOMBO-62,true,,pos-brain:vec_cg5u9m56ib1a,2026-06-05T07:39:00.000Z,2026-06-05T05:23:00.000Z
63,P-000063,Annibale Colombo Sofa,High-quality annibale colombo sofa from Annibale Colombo. Perfect for everyday use.,1015733085016,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Sofa/1.png""]",2499.99,1769.67,1484.01,16,pcs,"[""furniture"", ""annibale-colombo"", ""annibale"", ""colombo""]",Annibale Colombo,ANNIBALE-COLOMBO-63,true,,,2026-06-05T21:13:00.000Z,2026-06-05T05:39:00.000Z
