id,name,email,phone_num,address,created_user,total_stock,retail_price_total,createdAt
61,DinnerWare Lanka,dine@dinnerware.lk,+94771234561,"82 Plate Road, Hanwella",admin,2162,463923.59,2026-06-03T08:00:00.000Z
62,SpiceWorld Racks,spice@spiceworld.lk,+94771234562,"50 Rack Road, Hanwella",admin,3089,143269.12,2026-06-01T20:00:00.000Z
63,StoragePlus Jars,store@storageplus.lk,+94771234563,"27 Jar Road, Hanwella",admin,2384,488851.76,2026-06-04T03:00:00.000Z
64,GlassWorks Lanka,clear@glassworks.lk,+94771234564,"93 Glass Road, Hanwella",admin,2977,161743.52,2026-06-03T08:00:00.000Z
65,SoftTouch Cotton,soft@softtouch.lk,+94771234565,"4 Pad Road, Hanwella",admin,2634,181761.42,2026-06-01T14:00:00.000Z
66,Listerine Oral Care,fresh@listerine.lk,+94771234566,"68 Mouth Road, Hanwella",admin,4189,68994.02,2026-06-02T03:00:00.000Z
67,Home Decor Lanka,decorate@homedecor.lk,+94771234567,"16 Swing Road, Hanwella",admin,1108,166709.25,2026-06-01T08:00:00.000Z
68,Memories Photo Frames,frame@memories.lk,+94771234568,"83 Picture Road, Hanwella",admin,505,481756.72,2026-06-05T13:00:00.000Z
69,Green Home Plants,grow@greenhome.lk,+94771234569,"39 Plant Road, Hanwella",admin,344,371824.17,2026-06-05T10:00:00.000Z
70,Garden Plus Pots,pot@gardenplus.lk,+94771234570,"75 Pottery Road, Hanwella",admin,3460,292194.68,2026-06-02T09:00:00.000Z
71,Lumina Lighting,light@lumina.lk,+94771234571,"6 Lamp Road, Hanwella",admin,2155,19898.29,2026-06-01T04:00:00.000Z
72,Memories Keepsakes,keep@memories.lk,+94771234572,"94 Memory Road, Hanwella",admin,1475,234563.98,2026-06-05T20:00:00.000Z
73,Nature's Gift Lanka,gift@naturesgift.lk,+94771234573,"52 Present Road, Hanwella",admin,1001,194866.93,2026-06-01T20:00:00.000Z
74,EcoFriendly Lanka,green@ecofriendly.lk,+94771234574,"28 Eco Road, Hanwella",admin,2493,50843.72,2026-06-03T09:00:00.000Z
75,Sustainable Living Co,earth@sustainable.lk,+94771234575,"61 Green Road, Hanwella",admin,2914,255355.38,2026-06-05T01:00:00.000Z
76,Organic Choice Lanka,pure@organicchoice.lk,+94771234576,"15 Organic Road, Hanwella",admin,791,398889.94,2026-06-03T01:00:00.000Z
77,Healthy Harvest Co,health@healthyharvest.lk,+94771234577,"87 Wellness Road, Hanwella",admin,316,61507.64,2026-06-05T02:00:00.000Z
78,NutriLife Supplements,vitamin@nutrilife.lk,+94771234578,"43 Pill Road, Hanwella",admin,4125,187520.16,2026-06-03T06:00:00.000Z
79,FitLife Nutrition,fit@fitlife.lk,+94771234579,"10 Gym Road, Hanwella",admin,2093,108853.35,2026-06-03T01:00:00.000Z
80,PowerProtein Lanka,protein@powerprotein.lk,+94771234580,"76 Muscle Road, Hanwella",admin,3556,260702.18,2026-06-05T18:00:00.000Z
81,CleanCare Hygiene,clean@cleancare.lk,+94771234581,"32 Soap Road, Hanwella",admin,4764,1079.75,2026-06-03T18:00:00.000Z
82,FreshStart Cleaning,start@freshstart.lk,+94771234582,"58 Mop Road, Hanwella",admin,4228,32407.22,2026-06-03T00:00:00.000Z
83,SparkleClean Products,shine@sparkleclean.lk,+94771234583,"21 Polish Road, Hanwella",admin,2595,263093.63,2026-06-04T21:00:00.000Z
84,HomeFresh Aromas,scent@homefresh.lk,+94771234584,"89 Aroma Road, Hanwella",admin,3633,31097.41,2026-06-03T06:00:00.000Z
85,ZenScents Lanka,calm@zenscents.lk,+94771234585,"47 Incense Road, Hanwella",admin,2752,140414.25,2026-06-03T20:00:00.000Z
86,AromaTherapy Lanka,relax@aromatherapy.lk,+94771234586,"3 Oil Road, Hanwella",admin,4791,115089.31,2026-06-03T00:00:00.000Z
87,PureEssence Oils,oil@pureessence.lk,+94771234587,"70 Essential Road, Hanwella",admin,1333,399422.81,2026-06-04T10:00:00.000Z
88,HerbalCure Lanka,cure@herbalcure.lk,+94771234588,"36 Herb Road, Hanwella",admin,4334,17085.93,2026-06-02T05:00:00.000Z
89,Ayurveda Plus,ayur@ayurvedaplus.lk,+94771234589,"99 Ayurvedic Road, Hanwella",admin,4751,183923.31,2026-06-02T04:00:00.000Z
90,Wellness Hub Lanka,hub@wellnesshub.lk,+94771234590,"54 Spa Road, Hanwella",admin,3527,33708.78,2026-06-01T01:00:00.000Z
91,MedCare Supplies,med@medcare.lk,+94771234591,"19 Bandage Road, Hanwella",admin,3986,240139.15,2026-06-01T14:00:00.000Z
92,FirstAid Lanka,help@firstaid.lk,+94771234592,"85 Emergency Road, Hanwella",admin,1945,243937.36,2026-06-02T08:00:00.000Z
93,SafeGuard Protection,safe@safeguard.lk,+94771234593,"40 Shield Road, Hanwella",admin,3565,18482.73,2026-06-03T01:00:00.000Z
94,SecureLife Lanka,secure@securelife.lk,+94771234594,"6 Lock Road, Hanwella",admin,2410,398630.92,2026-06-01T19:00:00.000Z
95,SmartHome Lanka,smart@smarthome.lk,+94771234595,"73 IoT Road, Hanwella",admin,2791,47103.45,2026-06-02T18:00:00.000Z
96,TechLife Electronics,tech@techlife.lk,+94771234596,"11 Gadget Road, Hanwella",admin,3797,122070.2,2026-06-03T22:00:00.000Z
97,DigitalWorld Lanka,digital@digitalworld.lk,+94771234597,"56 Byte Road, Hanwella",admin,2460,18294.74,2026-06-02T08:00:00.000Z
98,FutureTech Solutions,future@futuretech.lk,+94771234598,"30 Innovation Road, Hanwella",admin,1635,442462.81,2026-06-03T01:00:00.000Z
99,CloudNine Services,cloud@cloudnine.lk,+94771234599,"88 Server Road, Hanwella",admin,2806,106525.5,2026-06-02T18:00:00.000Z
100,DataStream Lanka,data@datastream.lk,+94771234600,"5 Fiber Road, Hanwella",admin,3880,227172.42,2026-06-05T16:00:00.000Z
